N,dt,CVA,CVAUB,CVALB,DVA,DVAUB,DVALB,Product,Time
5000,1,-0.004475733080840208,-0.004793049148943132,-0.004158417012737284,0.005383085382915211,0.005084103869966571,0.005682066895863852,10Y Payer Swap Exposure,3.42
5000,1,-0.010628567415727475,-0.011140718591473336,-0.01011641623998161,0.0009454335068886782,0.0008190889586391387,0.001071778055138218,5Y10Y Payer Swaption Exposure,39.83
5000,1,-0.002888707698800028,-0.0031245759119160562,-0.002652839485684,0.0018324957903789068,0.0016884715863221575,0.001976519994435656,10Y Payer Swap with VM,5.97
5000,1,-0.003880507377736781,-0.004094681524179296,-0.0036663332312942692,0.000578197783392586,0.0004906088915676676,0.0006657866752175043,5Y10YPayer Swaption with VM,72.02
5000,1,-0.0018608997790690767,-0.0020385744090117945,-0.0016832251491263584,0.0011276691415899871,0.0010172916538453457,0.0012380466293346291,10Y Payer Swap with VM+IM,7.48
5000,1,-0.0035952425549302877,-0.0037727309464083507,-0.003417754163452226,0.0004539606955926407,0.0003742198568378463,0.0005337015343474353,10Y Payer Swaption with VM+IM,105.33
5000,2,-0.004743447120745218,-0.005065770066370675,-0.004421124175119762,0.0051502202117435164,0.004853768581891879,0.005446671841595152,10Y Payer Swap Exposure,5.94
5000,2,-0.010207800230053184,-0.010725829226469034,-0.009689771233637333,0.0007579802623228483,0.0006465154268412572,0.0008694450978044395,5Y10Y Payer Swaption Exposure,74.13
5000,2,-0.00013042984117367585,-0.00014628168335620754,-0.00011457799899114412,0.00014486722002060302,0.00013107405059112416,0.0001586603894500819,10Y Payer Swap with VM,9.93
5000,2,-0.0009198318806578528,-0.0009379544837575655,-0.0009017092775581404,2.2570509832181432e-05,1.7518456957455535e-05,2.762256270690734e-05,5Y10YPayer Swaption with VM,140.61
5000,2,-1.6452956115009935e-06,-2.177571948018592e-06,-1.1130192749833953e-06,1.346639896653398e-06,9.410010636800833e-07,1.7522787296267129e-06,10Y Payer Swap with VM+IM,13.75
5000,2,-0.0009236464756572393,-0.0009239822063225344,-0.0009233107449919442,2.560774229015262e-07,1.2836651620975632e-07,3.837883295932961e-07,10Y Payer Swaption with VM+IM,204.81
5000,4,-0.004990114328581104,-0.005315562951480258,-0.004664665705681947,0.004711205609454236,0.004429530030751046,0.004992881188157427,10Y Payer Swap Exposure,9.94
5000,4,-0.010290388715085736,-0.010808021443581804,-0.009772755986589676,0.0007301932562522379,0.0006259790006714921,0.0008344075118329844,5Y10Y Payer Swaption Exposure,146.69
5000,4,-0.00013530469223330986,-0.00015035855818433904,-0.00012025082628228068,0.00012353868108623843,0.000111709707169063,0.00013536765500341385,10Y Payer Swap with VM,19.91
5000,4,-0.0005397706977971013,-0.0005562378657768431,-0.0005233035298173605,2.2356914058449964e-05,1.7660663669619624e-05,2.7053164447280303e-05,5Y10YPayer Swaption with VM,285.39
5000,4,-6.756160506074428e-07,-8.939195434353358e-07,-4.573125577795498e-07,1.1452916462486853e-06,9.214676815559966e-07,1.369115610941374e-06,10Y Payer Swap with VM+IM,28.37
5000,4,-0.0004600874312277622,-0.00046026583997757167,-0.000459909022477953,3.3879867028645086e-07,2.540842326624013e-07,4.2351310791050034e-07,10Y Payer Swaption with VM+IM,397.38
5000,12,-0.0054212131040080914,-0.005757058288136353,-0.0050853679198798254,0.004243286885272891,0.003977233912358155,0.0045093398581876306,10Y Payer Swap Exposure,26.64
5000,4,-0.004990114328581104,-0.005315562951480258,-0.004664665705681947,0.004711205609454236,0.004429530030751046,0.004992881188157427,10Y Payer Swap Exposure,9.81
5000,12,-0.0054212131040080914,-0.005757058288136353,-0.0050853679198798254,0.004243286885272891,0.003977233912358155,0.0045093398581876306,10Y Payer Swap Exposure,26.50
5000,12,-0.0054212131040080914,-0.005757058288136353,-0.0050853679198798254,0.004243286885272891,0.003977233912358155,0.0045093398581876306,10Y Payer Swap Exposure,26.76
5000,12,-0.01061414955765215,-0.011132453498925285,-0.010095845616379027,0.0007353998066364879,0.0006319280062676409,0.0008388716070053347,5Y10Y Payer Swaption Exposure,429.29
5000,12,-0.00013685239096256175,-0.00015076980687404827,-0.00012293497505107523,0.00010443863411140995,9.43912548483427e-05,0.00011448601337447721,10Y Payer Swap with VM,58.01
5000,12,-0.00028693421282433034,-0.00030204124886147794,-0.00027182717678718275,2.2681903899105133e-05,1.8202633114953312e-05,2.716117468325695e-05,5Y10YPayer Swaption with VM,806.16
5000,12,-9.254091956077095e-08,-1.39694834059874e-07,-4.53870050616679e-08,2.4036555898148874e-07,1.845048825024041e-07,2.9622623546057337e-07,10Y Payer Swap with VM+IM,86.13
